22,23,27,28,30,3,
2,5,10,23,34,7,
4,8,9,28,37,11,
4,23,28,29,31,16,
3,5,25,30,42,8,
9,12,16,21,30,1,
8,29,32,34,42,5,
3,9,12,34,35,13,
8,12,18,40,43,4,
1,15,22,36,37,13,
1,4,5,16,30,7,
7,14,20,34,41,4,
9,15,25,27,33,13,
7,8,21,30,42,2,
1,5,8,14,40,8,
6,19,20,37,38,10,
6,21,22,34,36,10,
26,29,39,42,43,4,
21,22,23,33,41,8,
5,9,16,29,42,11,
8,15,30,35,36,3,
7,8,18,34,42,8,
14,18,20,32,33,4,
7,9,15,16,26,11,
21,22,29,30,38,11,
6,22,28,32,36,2,
1,27,28,34,37,11,
6,10,15,33,42,16,
14,18,20,39,41,5,
2,9,24,26,42,5,
10,14,32,35,42,13,
8,12,15,31,38,14,
12,14,18,37,40,2,
7,18,20,22,34,11,
8,18,21,30,43,5,
1,7,9,31,40,13,
22,30,31,34,41,16,
8,14,25,31,34,6,
8,9,25,32,41,1,
15,20,34,35,38,13,
2,10,11,18,23,10,
14,19,40,41,43,2,
9,17,39,41,43,1,
20,28,35,37,39,3,
1,16,24,36,42,11,
5,20,22,32,35,16,
5,15,27,34,35,4,
1,2,11,15,33,12,
2,8,11,13,22,15,
11,14,15,22,25,16,
2,5,7,20,34,14,
12,14,18,28,40,8,
17,19,21,24,40,11,
7,13,17,21,36,1,
4,5,29,37,42,13,
18,35,37,39,42,13,
1,6,16,22,31,16,
6,7,9,18,35,6,
12,15,22,26,28,7,
17,25,29,34,36,12,
9,13,24,29,38,9,
13,15,16,24,43,13,
9,11,22,26,42,15,
1,4,6,12,22,10,
2,8,20,35,38,3,
1,15,20,31,35,15,
2,18,22,24,28,4,
5,11,29,30,43,14,
2,5,16,24,39,15,
8,24,34,38,42,11,
17,19,20,21,26,13,
10,33,36,40,43,16,
8,11,30,31,38,7,
1,2,11,34,41,10,
4,13,20,27,42,1,
14,17,24,25,41,1,
1,5,13,27,30,7,
12,15,28,35,38,1,
8,18,19,22,32,1,
3,9,22,23,36,2,
5,9,27,38,42,1,
1,6,24,33,43,8,
1,7,22,28,38,6,
14,18,24,37,43,15,
3,22,27,31,32,10,
7,13,36,38,42,9,
3,8,25,36,38,10,
15,20,26,37,40,13,
1,4,5,29,33,11,
17,18,19,27,37,14,
1,4,10,16,25,15,
1,11,31,33,36,7,
9,27,36,39,43,8,
3,9,37,40,42,11,
19,23,33,34,40,5,
4,6,16,36,37,14,
3,7,8,18,38,7,
11,24,33,42,43,15,
20,27,31,34,41,9,
7,9,16,23,28,12,
1,5,8,17,30,15,
13,16,35,38,42,3,
6,16,28,39,40,2,
4,9,20,25,43,14,
3,5,10,30,40,8,
14,27,34,38,40,14,
4,18,30,41,43,11,
21,26,27,30,31,2,
5,7,20,26,33,14,
15,20,27,38,42,3,
13,19,21,25,36,12,
5,10,14,37,40,6,
6,20,25,29,41,4,
13,17,25,26,35,4,
20,24,32,35,37,5,
5,6,17,22,31,10,
22,24,28,31,43,4,
1,7,12,32,43,1,
1,14,18,19,26,10,
16,28,30,32,39,11,
7,9,14,28,39,9,
9,24,29,30,32,14,
7,8,11,12,38,5,
1,8,12,13,42,5,
1,8,21,29,35,6,
16,23,31,39,43,9,
7,9,11,28,34,5,
3,11,29,39,40,13,
2,8,11,19,26,6,
2,20,26,30,43,11,
4,14,19,25,31,15,
6,8,13,32,43,15,
6,13,33,35,41,11,
1,14,15,22,36,11,
5,6,18,19,24,9,
3,8,15,22,33,13,
12,14,15,20,43,10,
14,18,21,26,36,7,
1,13,16,22,25,8,
15,16,26,34,39,6,
2,5,23,27,36,12,
14,15,17,23,39,6,
3,9,10,19,35,8,
7,13,19,32,42,7,
3,25,30,33,34,1,
2,4,20,21,35,3,
5,8,19,30,33,1,
2,4,12,21,33,2,
3,5,28,37,42,15,
1,3,8,31,35,16,
1,3,15,19,29,13,
12,21,25,37,41,3,
9,21,24,39,40,12,
5,8,20,24,37,4,
2,4,6,9,25,13,
9,12,16,17,21,14,
2,10,13,32,42,1,
20,28,30,31,36,8,
4,19,22,36,43,10,
5,14,17,31,34,3,
10,11,25,27,33,16,
7,9,17,38,39,9,
23,26,27,33,37,3,
5,9,13,22,43,12,
4,9,30,31,34,16,
14,16,33,38,41,10,
14,19,21,32,33,1,
11,14,28,29,32,3,
6,9,28,35,41,7,
2,15,23,33,43,4,
1,10,12,39,40,14,
24,27,30,31,39,12,
7,9,23,37,40,14,
2,8,17,20,25,7,
3,11,27,31,32,12,
12,32,36,37,42,11,
17,25,32,33,40,3,
2,17,24,37,42,11,
2,23,25,33,34,10,
10,29,30,32,36,4,
2,7,12,21,37,9,
5,7,10,22,31,12,
2,14,15,28,40,5,
8,12,16,26,39,6,
1,10,14,32,39,10,
3,8,12,13,43,7,
8,11,17,29,42,13,
7,15,22,25,35,9,
7,20,25,30,38,4,
6,8,13,14,22,12,
12,14,20,32,35,9,
16,23,36,39,42,11,
4,5,12,24,33,12,
24,26,35,36,41,7,
9,13,15,27,31,15,
2,4,18,23,39,5,
2,15,16,30,37,3,
1,16,21,34,35,14,
4,17,24,27,40,4,
21,22,23,31,39,6,
1,4,11,22,25,6,
4,5,7,36,37,1,
3,5,12,19,20,5,
11,20,24,29,35,2,
19,21,28,29,30,12,
15,18,19,32,36,8,
17,18,32,37,43,6,
4,10,13,27,43,2,
7,20,26,33,39,7,
9,13,22,39,41,16,
8,26,27,28,42,7,
13,14,15,25,32,14,
6,14,33,35,39,14,
3,5,15,25,29,11,
3,4,23,35,42,7,
1,6,27,29,39,8,
6,10,21,24,33,2,
2,5,23,40,43,7,
9,27,30,39,41,10,
1,9,16,19,31,16,
9,13,21,38,43,11,
3,11,14,39,40,1,
9,11,13,35,43,7,
9,25,27,31,42,4,
8,15,23,24,42,14,
12,16,32,38,43,11,
14,26,27,35,37,3,
4,16,17,23,29,3,
13,15,30,38,41,3,
10,27,31,35,43,13,
2,15,27,33,35,16,
2,13,18,19,32,13,
14,15,21,40,42,11,
5,6,17,27,41,13,
5,9,11,14,24,4,
5,19,24,25,37,13,
4,7,19,23,32,2,
3,12,22,24,25,6,
19,20,29,31,40,11,
3,10,20,31,41,6,
5,10,11,25,33,4,
4,15,23,24,33,12,
5,14,22,37,43,13,
4,8,16,27,31,7,
1,3,20,29,39,1,
9,33,34,41,43,7,
15,18,22,34,42,3,
7,11,28,38,39,2,
6,29,32,39,43,16,
2,3,10,21,23,14,
13,20,24,30,42,12,
2,20,25,36,41,11,
10,15,19,21,41,10,
6,22,29,30,31,10,
6,23,25,37,40,15,
3,5,12,23,36,1,
4,15,26,27,29,9,
20,21,26,29,40,9,
12,18,25,34,43,13,
15,22,25,28,33,7,
5,20,33,36,43,10,
5,9,19,30,37,6,
1,2,12,30,36,1,
3,11,18,27,33,9,
8,11,13,25,32,6,
5,16,26,28,38,8,
3,19,26,27,29,6,
15,18,19,30,42,2,
9,11,19,28,41,9,
7,11,25,32,35,1,
11,14,16,18,19,15,
16,25,26,35,39,14,
7,10,12,35,41,4,
14,25,27,30,42,8,
4,5,17,18,38,3,
1,6,7,17,21,13,
7,11,25,28,30,9,
3,9,22,26,27,1,
8,13,21,32,33,8,
6,20,31,36,41,5,
22,27,37,40,42,14,
2,11,16,28,43,3,
1,3,23,27,39,7,
4,25,26,27,30,4,
19,23,32,36,39,11,
